Name,Position,Age,YOE,Prev Team,AAV,Type
Azeez Ojulari,DE,24.6,4.0,NYG,1693727,UFA
Khalil Davis,DT,28.4,4.0,SF,1650000,UFA
Mario Edwards,DE,31.0,10.0,HOU,1650000,UFA
JK Dobbins,RB,26.1,5.0,LAC,1610000,UFA
Dillon Radunz,T,26.8,4.0,TEN,1581718,UFA
Chris Conley,WR,32.2,10.0,SF,1550000,UFA
Dayo Odeyingbo,DE,25.3,4.0,IND,1544381,UFA
Trenton Scott,RT,31.0,7.0,WAS,1510000,UFA
Elijah Campbell,S,29.4,4.0,MIA,1505000,UFA
Chase Edmonds,RB,28.8,7.0,TB,1500000,UFA
Devin Bush,ILB,26.5,6.0,CLE,1500000,UFA
K'Von Wallace,S,27.5,5.0,SEA,1500000,UFA
Tavierre Thomas,CB,28.8,7.0,TB,1500000,UFA
Dare Ogunbowale,RB,30.7,6.0,HOU,1500000,UFA
Samaje Perine,RB,29.3,8.0,KC,1500000,UFA
TuTu Atwell,WR,25.2,4.0,LAR,1477175,UFA
Nick Bolton,LB,24.8,4.0,KC,1458508,UFA
JaMycal Hasty,RB,28.3,5.0,NE,1450000,UFA
Kenny Yeboah,TE,26.2,4.0,NYJ,1425000,UFA
Khalil Dorsey,CB,26.8,4.0,DET,1400000,UFA
Christian Rozeboom,LB,28.0,4.0,LAR,1400000,UFA
Josh Myers,C,26.5,4.0,GB,1395034,UFA
Kyle Trask,QB,26.8,4.0,TB,1383834,UFA
Morgan Cox,LS,38.8,15.0,TEN,1377500,UFA
Jon Weeks,LS,38.9,15.0,HOU,1377500,UFA
Patrick Scales,LS,36.9,9.0,CHI,1377500,UFA
J.J. Jansen,LS,39.0,17.0,CAR,1377500,UFA
Anthony Walker Jr.,ILB,29.4,8.0,MIA,1377500,UFA
James Winchester,LS,35.4,10.0,KC,1377500,UFA
Brent Urban,DE,33.7,11.0,BAL,1377500,UFA
Josh Johnson,QB,38.7,12.0,BAL,1377500,UFA
C.J. Goodwin,CB,34.9,9.0,DAL,1377500,UFA
Aaron Brewer,LS,34.5,14.0,ARI,1377500,UFA
Michael Dunn,T,30.4,5.0,CLE,1377500,UFA
Casey Kreiter,LS,34.4,9.0,NYG,1377500,UFA
Chris Manhertz,TE,32.8,9.0,NYG,1377500,UFA
Eric Wilson,OLB,30.3,8.0,GB,1377500,UFA
Rodney McLeod,FS,34.6,13.0,CLE,1377500,UFA
Antonio Hamilton,CB,32.0,9.0,ATL,1377500,UFA
Kamu Grugier-Hill,OLB,30.7,9.0,MIN,1377500,UFA
William Gholston,DE,33.5,12.0,TB,1377500,UFA
John Johnson,SS,29.1,8.0,LAR,1377500,UFA
Marcus Maye,S,30.8,8.0,LAC,1377500,UFA
C.J. Uzomah,TE,32.0,10.0,PHI,1377500,UFA
Iosua Opeta,G,28.4,5.0,TB,1375000,UFA
Cody Ford,T,28.1,6.0,CIN,1350000,UFA
Caleb Johnson,LB,26.5,4.0,JAX,1350000,UFA
Lucas Patrick,G,31.5,8.0,NO,1347500,UFA
Steven Sims Jr.,WR,27.8,4.0,BAL,1325000,UFA
Jamison Crowder,WR,31.6,10.0,WAS,1310000,UFA
Andre Cisco,FS,24.8,4.0,JAX,1309125,UFA
Justin Strnad,LB,28.4,5.0,DEN,1305000,UFA
Ian Thomas,TE,28.6,7.0,CAR,1300000,UFA
Joseph Ossai,DE,24.8,4.0,CIN,1298154,UFA
L.J. Collier,DE,29.3,7.0,ARI,1292500,UFA
Michael Badgley,K,29.5,6.0,DET,1292500,UFA
Gunner Olszewski,WR,28.2,6.0,NYG,1292500,UFA
Trent Sieg,LS,29.7,7.0,DAL,1292500,UFA
Ty Johnson,RB,27.3,6.0,BUF,1292500,UFA
Khadarel Hodge,WR,30.0,7.0,ATL,1292500,UFA
Storm Norton,RT,30.7,5.0,ATL,1292500,UFA
Van Jefferson,WR,28.5,5.0,PIT,1292500,UFA
Jake Martin,OLB,29.1,7.0,CHI,1292500,UFA
Tanner Hudson,TE,30.2,5.0,CIN,1292500,UFA
Matt Peart,T,27.6,5.0,DEN,1292500,UFA
Jaylinn Hawkins,S,27.4,5.0,NE,1292500,UFA
Aaron Stinnie,G,30.9,7.0,NYG,1292500,UFA
Trevis Gipson,DE,27.6,5.0,SEA,1292500,UFA
Chris Board,LB,29.5,7.0,BAL,1292500,UFA
Da'shawn Hand,DE,29.2,7.0,MIA,1292500,UFA
Noah Igbinoghene,CB,25.2,5.0,WAS,1292500,UFA
Nick Scott,SS,29.7,6.0,CAR,1292500,UFA
Kyle Allen,QB,28.8,6.0,PIT,1292500,UFA
Kindle Vildor,CB,27.1,5.0,DET,1292500,UFA
James Smith-Williams,DE,27.5,5.0,ATL,1292500,UFA
Deonte Harty,WR,27.1,6.0,BAL,1292500,UFA
Chuma Edoga,T,27.7,6.0,DAL,1292500,UFA
Cameron Brown,LB,26.8,5.0,MIA,1292500,UFA
Will Harris,S,29.1,6.0,NO,1292500,UFA
Ross Dwelley,TE,30.0,7.0,ATL,1292500,UFA
Matthew Adams,ILB,29.1,7.0,NYG,1292500,UFA
Eric Saubert,TE,30.7,7.0,SF,1292500,UFA
Rock Ya-Sin,CB,28.7,6.0,SF,1292500,UFA
Krys Barnes,ILB,26.8,6.0,ARI,1292500,UFA
Brady Christensen,G,28.3,4.0,CAR,1290819,UFA
Milton Williams,DT,25.8,4.0,PHI,1277543,UFA
Benjamin St-Juste,CB,27.3,4.0,WAS,1275188,UFA
D’Ernest Johnson,RB,28.9,6.0,JAX,1275000,UFA
Olamide Zaccheaus,WR,27.5,6.0,WAS,1275000,UFA
Joe Bachie,LB,26.9,5.0,CIN,1275000,UFA
Osa Odighizuwa,DT,26.4,4.0,DAL,1271548,UFA
Joey Slye,K,28.8,6.0,NE,1267500,UFA
Paulson Adebo,CB,25.5,4.0,NO,1260090,UFA
Le'Raven Clark,RT,31.8,8.0,PHI,1260000,UFA
Rick Lovato,LS,32.3,8.0,PHI,1260000,UFA
MyCole Pruitt,TE,32.8,9.0,PIT,1260000,UFA
Josh Palmer,WR,25.3,4.0,LAC,1258110,UFA
Rico Dowdle,RB,27.0,5.0,DAL,1255000,UFA
Justin Skule,T,28.2,5.0,TB,1255000,UFA
Fred Johnson,T,27.6,6.0,PHI,1252500,UFA
Malcolm Koonce,DE,26.6,4.0,LV,1249490,UFA
Divine Deablo,LB,26.4,4.0,LV,1245208,UFA
Hunter Long,TE,26.4,4.0,LAR,1242177,UFA
River Cracraft,WR,30.2,6.0,MIA,1240000,UFA
Dyami Brown,WR,25.2,4.0,WAS,1236000,UFA
Tommy Tremble,TE,24.6,4.0,CAR,1231608,UFA
Chauncey Golston,DE,26.9,4.0,DAL,1229147,UFA
Michael Jackson,CB,28.0,4.0,CAR,1222500,UFA
Danny Pinter,C,28.6,5.0,IND,1222500,UFA
Kendrick Green,G,26.1,4.0,HOU,1218942,UFA
Patrick Jones,OLB,26.3,4.0,MIN,1217526,UFA
Russell Wilson,QB,36.2,13.0,PIT,1210000,UFA
Vonn Bell,SS,30.1,9.0,CIN,1210000,UFA
Mike Pennel,DT,33.7,10.0,KC,1210000,UFA
Eddie Goldman,DT,31.0,8.0,ATL,1210000,UFA
Laken Tomlinson,G,32.9,10.0,SEA,1210000,UFA
Cameron Sutton,CB,29.9,8.0,PIT,1210000,UFA
Tyler Matakevich,ILB,32.1,9.0,PIT,1210000,UFA
Fabian Moreau,CB,30.8,8.0,MIN,1210000,UFA
Conor McDermott,T,32.2,8.0,LAR,1210000,UFA
JuJu Smith-Schuster,WR,28.2,8.0,KC,1210000,UFA
Noah Brown,WR,29.0,8.0,WAS,1210000,UFA
Kyle Peko,DT,31.5,7.0,DET,1210000,UFA
Quinton Jefferson,DT,31.8,9.0,BUF,1210000,UFA
Jordan Phillips,DT,32.3,10.0,BUF,1210000,UFA
C.J. Beathard,QB,31.2,8.0,JAX,1210000,UFA
Elijah Wilkinson,T,29.9,8.0,ATL,1210000,UFA
Germain Ifedi,T,30.6,9.0,CLE,1210000,UFA
Geoff Swaim,TE,31.3,10.0,CLE,1210000,UFA
Michael Burton,FB,32.9,10.0,DEN,1210000,UFA
Nick Vigil,OLB,31.4,9.0,DAL,1210000,UFA
Teddy Bridgewater,QB,32.2,10.0,DET,1210000,UFA
Allen Robinson,WR,31.4,11.0,DET,1210000,UFA
Ezekiel Turner,OLB,28.6,7.0,DET,1210000,UFA
Brandon McManus,K,33.5,11.0,GB,1210000,UFA
Mark Glowinski,G,32.7,9.0,IND,1210000,UFA
Ronnie Harrison,S,27.8,7.0,IND,1210000,UFA
Kareem Hunt,RB,29.4,8.0,KC,1210000,UFA
Eli Apple,CB,29.4,9.0,LAC,1210000,UFA
Tony Jefferson,SS,33.0,10.0,LAC,1210000,UFA
Jake McQuaide,LS,37.1,14.0,MIA,1210000,UFA
Chris Hubbard,RT,33.8,11.0,NYG,1210000,UFA
Jalen Mills,CB,30.8,9.0,NYJ,1210000,UFA
Tashaun Gipson,FS,34.4,13.0,SF,1210000,UFA
Pat O'Donnell,P,33.9,10.0,SF,1210000,UFA
Artie Burns,CB,29.7,9.0,SEA,1210000,UFA
Shaquil Barrett,OLB,32.2,9.0,TB,1210000,UFA
Troy Hill,CB,33.4,9.0,TB,1210000,UFA
Sterling Shepard,WR,31.9,9.0,TB,1210000,UFA
Justin Hardee,CB,30.9,8.0,TEN,1210000,UFA
Daryl Worley,CB,29.9,9.0,TEN,1210000,UFA
Nick Bellore,FB,35.7,14.0,WAS,1210000,UFA
Sheldon Day,DT,30.5,8.0,WAS,1210000,UFA
Ben Cleveland,G,26.4,4.0,BAL,1205134,UFA
Robert Hainsey,C,26.4,4.0,TB,1201593,UFA
Deandre Carter,WR,31.8,7.0,CHI,1200000,UFA
Elijah Molden,CB,26.0,4.0,LAC,1196463,UFA
Ifeatu Melifonwu,CB,25.7,4.0,DET,1196463,UFA
Ernest Jones,LB,25.2,4.0,SEA,1196463,UFA
Brandon Stephens,CB,27.1,4.0,BAL,1196463,UFA
Baron Browning,LB,25.9,5.0,ARI,1196463,UFA
Matt Pryor,G,30.1,7.0,CHI,1175000,UFA
Larrell Murchison,DT,27.8,5.0,LAR,1175000,UFA
Cam Akers,RB,25.6,4.0,MIN,1175000,UFA
Dan Skipper,T,30.3,6.0,DET,1150000,UFA
Reid Ferguson,LS,30.8,8.0,BUF,1147500,UFA
Adam Prentice,FB,28.0,4.0,NO,1130000,UFA
Tyler Johnson,WR,26.4,4.0,LAR,1130000,UFA
Trayvon Mullen,CB,27.3,5.0,BAL,1125000,UFA
Bryce Hall,CB,27.2,5.0,TB,1125000,UFA
Bradley Bozeman,C,30.2,7.0,LAC,1125000,UFA
Hakeem Adeniji,G,27.1,5.0,CLE,1125000,UFA
David Moore,WR,30.0,6.0,CAR,1125000,UFA
Hayden Hurst,TE,31.4,7.0,LAC,1125000,UFA
