player_name,player_id,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
Jacob Kibodi,00-0039617,2024,REG,5,24.0,0,0.0,0.0,1.0,-0.7370813344605267,0,1,3,15.0,0,0.0,0.0,9.0,11.0,1.0,-4.447477297333535,0,1.6666666666666667,0.09090909090909091,0.03571428571428571,3.9000000000000004,4.9,1,25.0,0.0,73.0,225.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/no7mr4wgu7o2exnmjre8"
Jahmyr Gibbs,00-0039139,2024,REG,250,1412.0,16,0.0,0.0,70.0,35.06442361974041,0,52,63,497.0,3,1.0,1.0,-11.0,573.0,25.0,14.967730785883788,0,85.72222222222221,0.11397900535623853,0.05731397396977766,302.9,354.9,17,22.0,1.0,69.0,200.0,3.55327195467422,15.2,2.874515151515152,5.648,1182.8403957736057,225.15960422639452,0.9079016299451392,0.3991935483870967,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f5y3osxxtov5rgfv4ra5"
Jake Funk,00-0036860,2023,REG,2,10.0,0,0.0,0.0,0.0,-0.883889150689356,0,1,1,12.0,0,0.0,0.0,0.0,12.0,1.0,1.4138173322426155,0,0.0,0.02564102564102564,0.0,2.2,3.2,1,26.0,3.0,70.0,205.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkegujg1754uei9oomoz"
Jakob Johnson,00-0035726,2022,REG,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,10.0,0,0.0,0.0,7.0,7.0,0.0,-3.5758745518978685,0,9.0,0.033742769011086866,0.02483247407073845,1.0,6.0,6,29.0,5.0,75.0,255.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dsggivrqnycxooysemqr"
Jaleel McLaughlin,00-0038794,2024,REG,113,496.0,1,0.0,0.0,25.0,-0.9885519364324864,0,24,27,76.0,2,1.0,1.0,-109.0,167.0,3.0,-11.26463073791448,0,-31.105483405483405,0.052463701183084466,-0.5284207387771789,73.2,97.2,16,23.0,1.0,67.0,183.0,4.361209677419355,18.58407079646018,3.076777777777777,4.389380530973451,517.5130413044636,-21.513041304463627,-0.1955731027678511,0.3909090909090909,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ndqnhudqtipzrnzslyla"
Jamaal Williams,00-0033948,2023,REG,106,306.0,1,1.0,0.0,19.0,-26.248758762661247,0,18,20,62.0,0,0.0,0.0,-27.0,87.0,1.0,-7.395753533012436,0,7.627777777777777,0.04970704014568112,-0.12489177334807967,42.8,60.800000000000004,13,29.0,7.0,72.0,213.0,4.582712418300657,29.245283018867923,2.651135416666666,2.8867924528301887,404.5931472814769,-101.59314728147687,-0.9768571853988164,0.2884615384615384,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxrxpgcwq5qwp88vqnp3"
James Conner,00-0033553,2024,REG,236,1094.0,8,2.0,0.0,67.0,0.07157158606021596,2,47,55,414.0,1,2.0,1.0,-103.0,483.0,17.0,5.554130418913666,0,-56.4488566988567,0.11475862736854335,-0.5807225182146292,206.8,253.8,16,29.0,7.0,73.0,233.0,3.9015265082266906,26.27118644067797,2.877251162790696,4.635593220338983,964.2294402632656,109.77055973673453,0.4772633032031936,0.3956521739130434,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rtvys5j7sxjrlbpy5iim"
James Cook,00-0037248,2024,REG,207,1009.0,16,1.0,0.0,48.0,10.634690047765616,0,32,38,258.0,2,0.0,0.0,37.0,260.0,14.0,12.76044623713824,0,33.692156862745094,0.07807117047961264,0.2027387140141374,234.70000000000002,266.7,16,24.0,2.0,71.0,190.0,3.434737363726461,21.73913043478261,2.612112903225807,4.874396135265701,834.6332798797879,167.3667201202121,0.8204250986284908,0.3774509803921568,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzdvrarxum9zate4te4b"
James Robinson,00-0035831,2022,REG,110,425.0,3,1.0,0.0,22.0,-14.688569113553967,0,11,14,51.0,2,0.0,0.0,1.0,63.0,5.0,1.595253336126916,0,13.844444444444445,0.038650510630625697,-0.06299423200612429,77.6,88.6,11,26.0,4.0,70.0,220.0,3.955882352941176,10.909090909090908,2.822336734693877,3.863636363636364,463.5110168940864,-44.51101689408642,-0.412139045315615,0.25,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htviio8mhknq9cennrdq"
Jaret Patterson,00-0036755,2022,REG,17,78.0,0,0.0,0.0,3.0,-1.0962408188710824,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.7909544217400253,0,0.0,0.05555555555555555,0.02531645569620253,7.800000000000001,7.800000000000001,1,24.0,3.0,68.0,195.0,3.322692307692308,29.411764705882355,2.474117647058824,4.588235294117647,77.84174592055875,-6.841745920558751,-0.4276091200349219,0.5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/miixk3xvovldmcfrg84n"
