player_name,player_id,season,season_type,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_catch_percentage,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,headshot_url
Calvin Ridley,00-0034837,2024,REG,64,120,1017.0,4,0.0,0.0,1883.0,231.0,39.0,28.17815911828616,0,9.019622375733778,0.2380681355987916,7.360307113344389,11.222952437110257,135.20000000000002,199.20000000000002,17,29.0,6.0,73.0,190.0,6.006347826086956,2.744836643924202,15.289000000000003,44.57737649791533,53.333333333333336,4.066562500000001,3.7655210796506746,0.3010414203493261,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmeij0cfgylmurfybs74"
Cam Sims,00-0034104,2022,REG,8,18,89.0,0,0.0,0.0,232.0,18.0,5.0,-8.603708994982298,0,4.441919191919192,0.05059868679897842,0.8861729606174202,1.5310974348138056,8.9,16.900000000000002,12,28.0,6.0,77.0,214.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rskkpergva4snsvgathy"
Casey Washington,00-0039394,2024,REG,1,2,14.0,0,0.0,0.0,36.0,11.0,1.0,0.9507967630634084,0,4.666666666666667,0.031130268199233715,0.15128089015396556,0.19928742770547703,1.4000000000000001,2.4000000000000004,2,23.0,0.0,72.0,200.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iprpih0l2lfosxoik7j3"
Cedric Tillman,00-0038979,2024,REG,29,49,339.0,3,1.0,1.0,552.0,104.0,15.0,-1.3725879018350806,1,4.729753742576765,0.13061925417032133,1.426605559139548,2.7619838226970215,51.4,80.4,9,24.0,1.0,75.0,215.0,6.124444444444444,2.920522131983175,11.666122448979593,11.603605066580055,59.18367346938776,3.9127586206896536,3.1150766838395216,0.797681936850132,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fp371fgk45btt01uvucq"
Cedrick Wilson Jr.,00-0034418,2023,REG,22,38,296.0,3,0.0,0.0,429.0,57.0,14.0,0.44893637045177215,0,7.958076555994751,0.10713564139366279,1.6785511454079738,2.9427238847810173,47.6,69.6,11,28.0,6.0,74.0,188.0,5.150114285714285,2.816934499567672,10.496571428571428,21.137463938536406,53.71428571428571,3.2720000000000007,3.061674772150141,1.0283252278498591,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vuolr6nwwbrwwc5ldt7f"
CeeDee Lamb,00-0036358,2024,REG,101,152,1194.0,6,1.0,1.0,1190.0,537.0,54.0,19.67804506383846,1,16.036403573984664,0.28245270623463764,4.532353900363208,9.527833620533592,162.4,263.40000000000003,15,25.0,4.0,74.0,189.0,5.832647058823531,2.885462080463688,7.953092105263157,26.08904897456207,66.44736842105263,5.596633663366338,3.3913175849794657,2.205316078386872,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tfuj9njqdw2dovkwhryc"
Charlie Jones,00-0038576,2023,REG,7,9,64.0,0,0.0,0.0,79.0,38.0,3.0,2.376261502795387,0,2.6792717086834736,0.050124223602484475,0.4788322364874093,0.71111424255982,13.7,20.7,5,25.0,1.0,72.0,188.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tbncr0bm5daiafdei8i8"
Chase Claypool,00-0036326,2022,REG,46,79,451.0,1,1.0,1.0,817.0,143.0,24.0,-5.912490091524573,0,9.485287592855853,0.17404715876129703,3.2651997345849355,6.201700886338639,59.04,105.04,15,26.0,4.0,76.0,227.0,5.624933333333335,2.797708808789563,10.385569620253165,25.34693474043226,58.22784810126582,3.141521739130434,3.255594393477846,-0.1140726543474115,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hpgllfzaanonbfxweq9z"
Chris Blair,00-0036463,2024,REG,1,2,17.0,0,0.0,0.0,37.0,0.0,1.0,-3.7777424185769632,0,1.0,0.033516483516483515,0.1526848293827267,0.20742883111735924,1.7000000000000002,2.7,2,26.0,4.0,74.0,200.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kmm35wgunwdsmrywpatc"
Chris Conley,00-0032128,2024,REG,6,12,76.0,0,0.0,0.0,207.0,19.0,3.0,-1.8939166229683906,0,4.421985815602836,0.05295634217293204,0.7441363109785556,1.0769370105007754,7.6000000000000005,13.6,7,31.0,9.0,75.0,205.0,6.641666666666667,3.032889685640644,12.983333333333334,30.92128765927043,50.0,9.433333333333332,7.172738699963172,2.26059463337016,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mr4h7vx02uwpr7xlfk6y"
