NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Andrew Wylie","G","WAS",1,59,72,59,72,67,59,69,73,62,"",66,41,"","",78,58,"",58,893,63,76.8,,,
"Michael Deiter","G","WAS",2,"",1,"",3,9,"",15,2,"",5,"","","","",78,"",61,58,232,13,19.9,,,
"Nick Allegretti","G","WAS",1,59,72,59,69,58,59,69,74,62,64,66,70,83,"",78,68,83,58,1151,67,99,,,
"Sam Cosmi","G","WAS","",59,71,59,72,67,59,69,74,62,64,66,70,83,"",78,68,83,58,1162,68,99.9,,,
"Matt Goncalves","OT","IND",1,"","","","","","",3,"",54,51,70,55,62,"",76,62,77,56,566,33,52.1,,,
"Charles Cross","OT","SEA",1,67,70,64,90,58,78,60,51,80,"",60,64,64,64,56,64,52,55,1097,64,99.7,,,
"Charlie Heck","OT","SF",2,"","",11,"",2,"","",3,4,10,"","","","","","",32,55,117,13,19.1,,,
"Carter Warren","OT","NYJ",3,"","","","","","","","","","","","",51,"","","",35,55,141,23,13.2,,,
"Laken Tomlinson","G","SEA",1,67,70,64,90,58,78,60,51,80,"",60,64,64,64,56,64,52,55,1097,64,99.7,,,
"Michael Jerrell","OT","SEA",2,"","","","","","",60,51,63,"",18,"","","",3,"","",55,250,25,22.7,,,
"Olu Oluwatimi","C","SEA",1,"","","","","","","",3,1,"",60,64,64,64,11,64,52,55,438,36,39.8,,,
"Sataoa Laumea","G","SEA",1,"","","","","","","","","","","","",64,64,59,64,52,55,358,59,32.5,,,
"Asim Richards","G","DAL",3,1,"","","",1,18,"","",3,60,23,22,"","","","","",53,181,13,20.1,,,
"Greg Van Roten","G","NYG",1,71,56,72,69,72,79,58,72,65,75,"",59,63,78,68,59,56,53,1125,66,100,,,
"Jermaine Eluemunor","OL","NYG",1,71,56,72,69,72,79,58,72,65,75,"",4,"","",68,59,56,53,929,61,82.6,,,
"Jake Kubas","G","NYG",2,"","","","","","","","","","","","","",29,1,59,56,53,198,39,17.6,,,
"Juice Scruggs","OL","HOU",1,79,"",67,75,68,66,64,71,79,68,64,56,63,"","","","",53,873,67,78.9,,,
"Tyre Phillips","OT","NYG","","","","","","","","","","","","","","","","","","",53,53,17,27.9,,,
"Andre James","C","OAK",2,60,63,64,59,70,63,79,42,"","","","","","","",74,77,51,702,54,62.5,,,
"DJ Glaze","OT","OAK",1,"","",62,59,70,63,79,58,61,"",65,77,68,67,67,74,77,51,998,58,88.9,,,
"Dylan Parham","G","OAK",1,60,63,43,51,70,20,"","",32,"",65,77,68,67,67,74,74,51,882,58,78.5,,,
"Jackson Powers-Johnson","G","OAK",1,"","",21,59,70,63,79,58,61,"",65,77,68,67,67,73,77,51,956,63,85.1,,,
"Kolton Miller","OT","OAK",1,60,63,64,59,70,63,79,58,13,"",65,77,68,67,67,74,77,51,1075,63,95.7,,,
"Mason McCormick","G","PIT",1,"","",25,70,58,67,68,66,"",78,78,69,69,65,43,60,75,48,939,55,83.2,,,
"Andrew Vorhees","OL","BAL",2,80,65,63,"","","","","",3,"","","","","",10,"","",47,268,17,24.1,,,
"Tytus Howard","OT","HOU",1,79,62,67,75,"",66,64,71,79,68,64,56,63,"",50,59,50,45,1018,63,92,,,
"Caedan Wallace","OT","NE",2,18,11,38,3,"","","","","","","","","","","","",15,44,129,21,35.2,,,
"Tyler Steen","OL","PHI",2,"","",58,7,"",1,51,59,"",14,8,2,9,1,49,1,16,40,316,18,27.3,,,
"Brandon Coleman","OT","WAS",1,14,22,29,35,33,30,15,"",62,64,66,70,83,"",78,68,83,38,790,49,67.9,,,
"Isaiah Wynn","OL","MIA",2,"","","","","","","","","","","","","","","",34,34,35,103,17,25.2,,,
"Liam Eichenberg","OL","MIA",1,71,76,61,60,78,"",69,65,61,53,68,68,71,72,68,33,26,35,1035,60,90.9,,,
"Trevor Keegan","G","PHI",2,"","","","","","","","","","","","","","","","","",35,35,35,3,,,
"C.J. Hanson","G","KC",2,"","","","","","","","","","","","","","","","","",31,31,31,2.7,,,
"Laremy Tunsil","OT","HOU",1,79,62,67,55,68,50,64,71,73,66,64,56,63,"",50,59,50,31,1028,60,92.9,,,
"Austin Deculus","OL","HOU",2,"","","","","","","","","","","","","","","","","",29,29,29,24.2,,,
"Joshua Ezeudu","OL","NYG",2,"","","","",2,1,58,"","",1,"","",1,78,2,2,9,28,182,10,16.2,,,
"Aaron Stinnie","OL","NYG",2,"","","","","","","","","","","","","",44,68,"",56,25,193,12,17.2,,,
"Tyler Guyton","OT","DAL",1,63,70,80,56,23,"","",62,74,"",60,46,14,"",58,7,32,25,670,44,57.2,,,
"Blake Freeland","OT","IND",3,"","","","","","",1,"","","","","","","","","","",22,23,2,2.1,,,
"Vederian Lowe","OT","NE",1,53,65,"","",60,11,"",67,69,64,76,69,72,"",51,73,53,21,804,57,73.6,,,
"Trent Scott","OT","WAS",2,2,"",1,2,2,1,2,30,1,64,"",29,"","",3,"",35,20,192,11,16.5,,,
"Ben Cleveland","G","BAL",2,"","",1,1,2,1,"",1,3,1,1,"","","",11,2,7,18,49,2,4.4,,,
"Kenyon Green","G","HOU",3,79,62,67,73,68,66,64,61,22,"","","","","","","",6,15,583,48,72.3,,,
"Amarius Mims","OT","CIN",1,"","",39,67,47,53,55,58,73,82,82,"",62,71,69,34,30,14,836,55,73.5,,,
"Spencer Anderson","G","PIT",2,68,66,56,64,1,11,1,1,"",4,7,2,"","","","",13,14,308,19,27.3,,,
"Dan Skipper","OT","DET",2,2,1,15,4,"",11,"",6,4,65,16,15,69,80,5,6,11,13,323,19,28.2,,,
"Foster Sarell","OT","LAC",2,"","","","","",6,"","","",11,"","","","","","",10,13,40,3,3.7,,,
"Matt Peart","OT","DEN",2,18,5,5,4,37,55,5,4,10,4,6,9,6,"",5,4,2,12,191,11,17.3,,,
"Alex Forsyth","C","DEN",2,"","","","",10,55,65,73,72,"",3,"","","",3,"","",9,290,17,26.3,,,
"Alex Palczewski","OT","DEN",2,"",2,68,61,33,"","","","","",3,"","","",4,"","",9,180,12,16.3,,,
"Brady Christensen","G","CAR",2,2,"",7,3,19,66,43,61,53,60,"",8,"","","",68,"",9,399,23,38.6,,,
"Zack Bailey","OL","NYJ","","","","","","","","","","","","","","","","","","",9,9,9,14.1,,,
