NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Avg,TM SNAP %,DEPTH_ranking,Avg_ranking,TM SNAP %_ranking,depth_score,TM_SNAP,avg_norm,rating,games,max_team_rating,team_relative_rating,final_rating,height,weight,headshot_url
Alex Cappa,G,CIN,1.0,51.0,64.0,62.0,67.0,67.0,53.0,55.0,58.0,74.0,82.0,82.0,,62.0,71.0,65.0,56.0,90.0,74.0,66,99.6,1.0,18.0,21.0,1.0,0.996,0.9295774647887324,0.9233580594679186,17,0.9244913928012518,0.9987741007194246,0.7491418705035973,78.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/phxdwhk3wxop91v6gwur"
Ben Bredeson,G,TB,1.0,64.0,48.0,57.0,77.0,53.0,77.0,82.0,73.0,55.0,61.0,,65.0,80.0,62.0,69.0,72.0,66.0,67.0,66,98.8,1.0,18.0,30.0,1.0,0.988,0.9295774647887324,0.921091392801252,17,0.9222247261345853,0.9987710876739517,0.7491397613717662,77.0,325.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnh7cytif36nslc1sz60"
Elgton Jenkins,G,GB,1.0,67.0,70.0,63.0,76.0,59.0,73.0,58.0,70.0,65.0,,46.0,68.0,54.0,50.0,64.0,60.0,63.0,65.0,63,98.8,1.0,61.0,30.0,1.0,0.988,0.8873239436619719,0.9091195618153365,17,0.9102528951486698,0.9987549247693981,0.7491284473385786,77.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wrahpqtdvxipwmrepiyl"
David Edwards,G,BUF,1.0,62.0,45.0,64.0,51.0,61.0,69.0,55.0,69.0,66.0,73.0,71.0,,43.0,60.0,69.0,57.0,62.0,,61,89.8,1.0,98.0,95.0,1.0,0.898,0.8591549295774648,0.8241302034428795,16,0.8254184663536775,0.9984392608557826,0.7489074825990478,78.0,308.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a68dv2turtxwbaliptda"
Matthew Bergeron,OL,ATL,1.0,56.0,,61.0,56.0,87.0,70.0,35.0,62.0,57.0,78.0,59.0,,81.0,74.0,58.0,67.0,64.0,79.0,65,96.7,1.0,33.0,53.0,1.0,0.9670000000000001,0.9154929577464789,0.8575536776212832,16,0.8604870109546165,0.9965910777315754,0.7476137544121028,77.0,322.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ytzefk5fjowuhby92ivo"
Zach Tom,OL,GB,1.0,67.0,70.0,63.0,76.0,59.0,73.0,57.0,70.0,65.0,,46.0,68.0,54.0,50.0,64.0,60.0,63.0,65.0,62,98.7,1.0,85.0,34.0,1.0,0.987,0.8732394366197183,0.9048456181533645,17,0.9102528951486698,0.9940595882483602,0.7458417117738522,76.0,295.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ktz9iysx4whg00sz9wyx"
Brandon Scherff,G,JAX,1.0,53.0,60.0,70.0,58.0,58.0,62.0,61.0,50.0,54.0,44.0,48.0,,70.0,59.0,84.0,67.0,46.0,69.0,59,98.1,1.0,121.0,44.0,1.0,0.981,0.8309859154929577,0.8911737871674491,17,0.897147730829421,0.9933411817734311,0.7453388272414018,77.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anatrup32nwke2whu7vo"
Evan Brown,C,ARI,1.0,61.0,66.0,59.0,59.0,55.0,40.0,57.0,66.0,58.0,59.0,,58.0,82.0,71.0,70.0,70.0,79.0,60.0,62,97.6,1.0,85.0,48.0,1.0,0.976,0.8732394366197183,0.901728951486698,17,0.9079862284820032,0.9931086212554497,0.7451760348788148,75.0,302.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8dqjwzxk3bouggbrdtg"
Colton McKivitz,OT,SF,1.0,72.0,70.0,71.0,63.0,64.0,65.0,63.0,68.0,,64.0,63.0,49.0,48.0,58.0,54.0,64.0,64.0,62.0,62,98.4,1.0,85.0,40.0,1.0,0.9840000000000001,0.8732394366197183,0.9039956181533646,17,0.9108195618153364,0.9925079083189966,0.7447555358232977,78.0,324.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rthnzxxp3zdhfuursprt"
Zion Johnson,G,LAC,1.0,57.0,69.0,46.0,56.0,,78.0,66.0,66.0,57.0,59.0,67.0,69.0,46.0,60.0,42.0,65.0,69.0,75.0,61,98.1,1.0,98.0,44.0,1.0,0.981,0.8591549295774648,0.8991550078247261,17,0.9059789514866979,0.9924678783643109,0.7447275148550176,75.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l16gikjeqc4305fpmy1v"
Tyler Linderbaum,C,BAL,1.0,80.0,65.0,63.0,57.0,78.0,68.0,59.0,68.0,51.0,63.0,61.0,65.0,72.0,,49.0,62.0,63.0,70.0,64,98.6,1.0,49.0,37.0,1.0,0.986,0.9014084507042254,0.9125435054773082,17,0.9196507824726134,0.9922717654018667,0.7445902357813067,74.0,290.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zq0keqt2pppvwdv0dysz"
Brian O'Neill,OT,MIN,1.0,55.0,54.0,60.0,68.0,73.0,,60.0,50.0,73.0,84.0,73.0,71.0,53.0,60.0,63.0,66.0,72.0,65.0,64,98.5,1.0,49.0,39.0,1.0,0.985,0.9014084507042254,0.9122601721439749,17,0.9205007824726134,0.9910476878612717,0.7437333815028903,79.0,297.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awodfdmkabxzvnio04ng"
Ronnie Stanley,OT,BAL,1.0,80.0,65.0,63.0,57.0,76.0,68.0,59.0,68.0,51.0,63.0,61.0,65.0,72.0,,49.0,62.0,60.0,70.0,64,98.1,1.0,49.0,44.0,1.0,0.981,0.9014084507042254,0.9111268388106416,17,0.9196507824726134,0.9907313256026881,0.7435119279218817,78.0,315.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jyonnq3s5nmg8ptpao9d"
Chris Lindstrom,G,ATL,1.0,53.0,,61.0,56.0,87.0,70.0,73.0,40.0,57.0,77.0,46.0,,81.0,74.0,58.0,62.0,64.0,79.0,64,96.2,1.0,49.0,55.0,1.0,0.9620000000000001,0.9014084507042254,0.852464475743349,16,0.8604870109546165,0.9906767503644623,0.7434737252551237,75.0,307.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/njjqpjnrq2g2nxxzu76u"
Dion Dawkins,OT,BUF,1.0,62.0,41.0,56.0,51.0,61.0,66.0,55.0,69.0,66.0,74.0,70.0,,43.0,60.0,70.0,59.0,58.0,,60,88.3,1.0,105.0,100.0,1.0,0.883,0.8450704225352113,0.8163743348982786,16,0.8254184663536775,0.9890429741712082,0.7423300819198457,77.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y91b58ldqfxiiluu70g0"
Connor McGovern,G,BUF,1.0,62.0,41.0,56.0,43.0,61.0,69.0,55.0,69.0,66.0,74.0,73.0,,43.0,60.0,70.0,59.0,60.0,,60,88.3,1.0,105.0,100.0,1.0,0.883,0.8450704225352113,0.8163743348982786,16,0.8254184663536775,0.9890429741712082,0.7423300819198457,76.0,306.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ldgfrqc1yt4lkktp1iky"
Connor McGovern,G,BUF,1.0,62.0,41.0,56.0,43.0,61.0,69.0,55.0,69.0,66.0,74.0,73.0,,43.0,60.0,70.0,59.0,60.0,,60,88.3,1.0,105.0,100.0,1.0,0.883,0.8450704225352113,0.8163743348982786,16,0.8254184663536775,0.9890429741712082,0.7423300819198457,77.0,308.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/quhuvopzzwf218gltane"
Garett Bolles,OT,DEN,1.0,54.0,61.0,68.0,61.0,59.0,55.0,63.0,72.0,72.0,58.0,59.0,68.0,66.0,,63.0,64.0,60.0,65.0,62,96.9,1.0,85.0,52.0,1.0,0.9690000000000001,0.8732394366197183,0.8997456181533647,17,0.9128268388106415,0.9856695485922381,0.7399686840145667,77.0,300.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cnfxptxoeok6agab0p56"
